angle,layer1,layer2,layer3,layer4
0.0,88.1439,83.468,82.0643,82.2577
0.5,88.1429,83.4509,82.0506,82.2459
1.0,88.1445,83.448,82.0359,82.2474
1.5,88.145,83.436,82.029,82.2453
2.0,88.1457,83.4279,82.0414,82.2533
2.5,88.1738,83.4621,82.1594,82.2639
3.0,88.1137,83.4692,0.0,82.2595
3.5,88.1616,83.498,82.2919,82.2972
4.0,88.1572,83.5088,82.269,82.3138
4.5,88.1238,83.6048,82.3516,82.3092
5.0,88.1283,83.6519,82.3089,82.2702
5.5,88.1419,83.7037,82.3067,82.2896
6.0,88.1456,83.8366,82.4633,82.3153
6.5,88.1633,83.9499,82.6138,82.3943
7.0,88.1655,83.9856,82.566,82.4561
7.5,88.1871,84.0637,82.4663,82.4405
8.0,88.2056,84.1087,82.6888,82.5628
8.5,88.2269,84.2755,82.7394,82.5467
9.0,88.2295,84.3882,82.8201,82.8177
9.5,88.2851,84.4852,82.8982,82.6807
10.0,88.3996,84.5759,83.0735,82.963
10.5,88.2317,84.6499,83.0466,82.8027
11.0,88.3607,84.8017,83.0583,82.8814
11.5,88.4113,84.8673,83.1823,82.8944
12.0,88.5296,84.9245,0.0,82.8662
12.5,88.4463,92.0007,83.3138,82.923
13.0,88.5478,91.7537,83.3722,83.0996
13.5,88.4518,0.0,83.4312,83.1853
14.0,88.4789,0.0,83.4301,83.1443
14.5,88.5188,0.0,83.4288,83.1073
15.0,88.5396,85.2585,83.5038,83.117
15.5,88.3344,85.3402,83.5219,83.2092
16.0,88.38,85.366,83.5819,83.255
16.5,88.4479,85.3608,83.6052,83.2792
17.0,88.4443,85.2566,83.698,83.2881
17.5,88.4499,85.2181,83.5975,83.3948
18.0,88.4425,85.2056,83.5862,83.3425
18.5,88.4649,85.1966,83.6957,83.3041
19.0,88.4542,85.1422,83.642,83.2856
19.5,88.5069,85.1445,83.607,83.2688
20.0,88.4516,85.0891,83.4521,83.2601
20.5,88.4411,85.035,0.0,83.2976
21.0,88.4631,85.1034,83.3759,83.3376
21.5,88.5022,84.9945,83.478,83.3961
22.0,88.4464,84.9165,83.4648,83.3633
22.5,88.4508,84.9783,83.5024,83.5074
23.0,88.4743,84.9442,83.4549,83.3798
23.5,88.5216,84.9324,83.4775,83.3699
24.0,88.4666,84.9453,83.5669,83.3782
24.5,88.5021,84.8298,83.3179,83.3552
25.0,88.4975,84.8297,83.4889,83.4705
25.5,88.6128,84.7855,83.4629,0.0
26.0,88.6504,84.7718,83.5885,83.4146
26.5,88.7682,84.7622,83.4201,83.4032
27.0,88.6923,84.7477,83.4958,83.4184
27.5,88.7542,84.6838,83.4008,83.4205
28.0,88.7245,84.6849,83.3828,83.4753
28.5,88.6998,84.6752,83.4807,83.4599
29.0,88.7158,84.6727,83.3752,83.4675
29.5,88.8477,84.6501,82.9376,83.4676
30.0,88.856,84.6491,83.4429,83.4714
